[000:02:52;21] . 
[000:32:08;19] FINANCIAL STATEMENT OF SORTS, 
[000:32:09;16] THE FORMS THAT THEY HAVE.
[000:32:11;17] IT SHOWS INCOME -- IN FACT, THE
[000:32:13;12] INCOME, I JUST LOOKED TODAY, 
[000:32:15;17] THE INCOME IS FILED AT $694 
[000:32:20;15] MILLION FOR THIS PAST YEAR.
[000:32:21;19] $694 MILLION.
[000:32:22;18] YOU WOULD HAVE TOLD ME I WAS 
[000:32:24;16] GOING TO MAKE THAT 15 OR 20 
[000:32:25;17] YEARS AGO, I WOULD HAVE BEEN 
[000:32:26;27] VERY SURPRISED.
[000:32:27;13] BUT THAT'S THE KIND OF THINKING
[000:32:28;16] THAT OUR COUNTRY NEEDS.
[000:32:29;17] WHEN WE HAVE A COUNTRY THAT'S 
[000:32:30;25] DOING SO BADLY THAT'S BEING 
[000:32:33;20] RIPPED OFF BY EVERY SINGLE 
[000:32:35;20] COUNTRY IN THE WORLD, IT'S THE 
[000:32:37;21] KIND OF THINKING THAT OUR 
[000:32:39;03] COUNTRY NEEDS, BECAUSE 
[000:32:41;01] EVERYBODY -- LESTER WE HAVE A 
[000:32:43;01] TRADE DEFICIT WITH ALL OF THE 
[000:32:45;28] COUNTRIES THAT WE DO BUSINESS 
[000:32:47;29] WITH OF ALMOST $800 BILLION A 
[000:32:50;01] YEAR.
[000:32:50;12] YOU KNOW WHAT THAT IS? 
[000:32:51;24] THAT MEANS WHO'S NEGOTIATING 
[000:32:53;02] THESE TRADE DEALS? 
[000:32:54;29] WE HAVE PEOPLE THAT ARE 
[000:32:56;27] POLITICAL HACKS NEGOTIATING OUR
[000:32:58;04] TRADE DEALS. 
[000:32:59;02] LESTER HOLT:  THE I.R.S. HAS AN
[000:33:01;04] AUDIT OF YOUR TAXES.
[000:33:04;01] YOU'RE PERFECTLY FREE TO 
[000:33:05;00] RELEASE YOUR TAXES DURING AN 
[000:33:06;12] AUDIT.
[000:33:07;01] DOES THE PUBLIC'S RIGHT TO KNOW
[000:33:09;05] OUTWEIGH YOUR PERSONAL -- 
[000:33:10;04] DONALD TRUMP: I WILL RELEASE 
[000:33:11;09] THEM AS SOON AS THE 
[000:33:12;03] AUDIT -- I'VE BEEN UNDER AUDIT 
[000:33:14;06] ALMOST 15 YEARS.
[000:33:15;05] I KNOW A LOT OF WEALTHY PEOPLE 
[000:33:17;07] THAT HAVE NEVER BEEN AUDITED.
[000:33:18;08] I SAID DO YOU GET AUDITED? 
[000:33:21;05] I GET AUDITED ALMOST EVERY 
[000:33:22;08] YEAR.
[000:33:22;19] IN A WAY I SHOULD BE 
[000:33:25;07] COMPLAINING.
[000:33:25;21] I DON'T COMPLAIN, IN A WAY, -- A
[000:33:29;19] LOT OF PEOPLE DON'T GET 
[000:33:31;09] AUDITED.
[000:33:31;21] I WILL SAY THIS.
[000:33:32;12] WE HAVE A SITUATION IN THIS 
[000:33:33;12] COUNTRY THAT HAS TO BE TAKEN 
[000:33:34;18] CARE OF.
[000:33:35;12] I WILL RELEASE MY TAX RETURNS 
[000:33:37;16] AGAINST MY LAWYERS' WISHES.
[000:33:39;17] WHEN SHE RELEASES HER 33,000 
[000:33:43;15] E-MAILS THAT HAVE BEEN DELETED,
[000:33:45;18] AS SOON AS SHE RELEASES THEM, I
[000:33:48;16] WILL RELEASE -- I WILL RELEASE 
[000:33:50;20] MY TAX RETURNS.
[000:33:51;21] AND THAT'S AGAINST MY 
[000:33:52;17] LAWYERS -- THEY SAY, DON'T DO 
[000:33:54;17] IT.
[000:33:54;27] I WILL TELL YOU THIS -- NO IN 
[000:33:57;17] FACT, WATCHING SHOWS AND 
[000:33:58;18] READING THE PAPERS, ALMOST 
[000:34:00;19] EVERY LAWYER SAYS, YOU DON'T 
[000:34:02;17] RELEASE YOUR RETURNS UNTIL THE 
[000:34:03;19] AUDIT IS COMPLETE.
[000:34:04;21] WHEN THE AUDIT IS COMPLETE, 
[000:34:05;21] I'LL DO IT.
[000:34:06;16] BUT I WOULD GO AGAINST THEM IF 
[000:34:07;21] SHE RELEASES HER E-MAILS. 
[000:34:10;22] LESTER HOLT:  SO IT'S 
[000:34:11;11] NEGOTIABLE? 
[000:34:11;25] DONALD TRUMP: IT'S NOT 
[000:34:12;15] NEGOTIABLE, NO.
[000:34:13;02] LET HER RELEASE THE E-MAILS.
[000:34:14;23] WHY DID SHE DELETE 13,000. 
[000:34:16;28] LESTER HOLT:  I'LL LET HER 
[000:34:17;25] ANSWER THAT BUT I WANT TO 
[000:34:20;23] ADMONISH THE AUDIENCE, WE 
[000:34:23;00] AGREED ON SILENCE.
[000:34:23;27] SECRETARY CLINTON. 
[000:34:25;00] HILLARY CLINTON: I THINK YOU'VE
[000:34:25;25] SEEN ANOTHER EXAMPLE OF BAIT 
[000:34:27;01] AND SWITCH HERE.
[000:34:27;28] FOR 40 YEARS, EVERYONE RUNNING 
[000:34:29;09] FOR PRESIDENT HAS RELEASED 
[000:34:31;03] THEIR TAX RETURNS.
[000:34:32;01] YOU CAN GO AND SEE NEARLY I 
[000:34:35;01] THINK 39, 40 YEARS OF OUR TAX 
[000:34:37;02] RETURNS.
[000:34:37;14] BUT EVERYONE HAS DONE IT.
[000:34:38;05] WE KNOW THE I.R.S. HAS MADE 
[000:34:40;05] CLEAR THERE IS NO PROHIBITION 
[000:34:41;13] ON RELEASING IT WHEN YOU'RE 
[000:34:43;10] UNDER AUDIT.
[000:34:44;02] SO YOU'VE GOT TO ASK YOURSELF 
[000:34:46;13] WHY WON'T HE RELEASE HIS TAX 
[000:34:49;09] RETURNS? 
[000:34:49;22] AND I THINK THERE MAY BE A 
[000:34:50;14] COUPLE OF REASONS.
[000:34:52;12] FIRST, MAYBE HE'S NOT AS RICH 
[000:34:56;13] AS HE SAYS HE IS.
[000:34:58;06] SECRETARY, MAYBE HE'S NOT AS 
[000:34:59;11] CHARITABLE AS HE CLAIMS TO BE.
[000:35:01;07] THIRD, WE DON'T KNOW ALL OF HIS
[000:35:02;14] BUSINESS DEALINGS, BUT WE HAVE 
[000:35:04;13] BEEN TOLD THROUGH INVESTIGATIVE
[000:35:07;08] REPORTING THAT HE OWES ABOUT 
[000:35:09;09] $650 MILLION TO WALL STREET AND
[000:35:12;10] FOREIGN BANKS.
[000:35:14;09] OR MAYBE HE DOESN'T WANT THE 
[000:35:15;13] AMERICAN PEOPLE, ALL OF YOU 
[000:35:16;21] WATCHING TONIGHT, TO KNOW THAT 
[000:35:18;10] HE'S PAID NOTHING IN FEDERAL 
[000:35:20;11] TAXES, BECAUSE THE ONLY YEARS 
[000:35:21;19] THAT ANYBODY'S EVER SEEN WERE A
[000:35:23;19] COUPLE OF YEARS WHEN HE HAD TO 
[000:35:26;20] TURN THEM OVER TO STATE 
[000:35:27;19] AUTHORITIES WHEN HE WAS TRYING 
[000:35:28;19] TO GET A CASINO LICENSE AND 
[000:35:30;18] THEY SHOWED HE DIDN'T PAY ANY 
[000:35:32;20] FEDERAL INCOME TAX. 
[000:35:33;24] DONALD TRUMP: THAT MAKES ME 
[000:35:35;17] SMART. 
[000:35:35;29] HILLARY CLINTON: SO HE PAID 
[000:35:36;23] ZERO THAT MEANS ZERO FOR 
[000:35:38;20] TROOPS ZERO FOR VETS, ZERO FOR
[000:35:41;23] SCHOOLS OR HEALTH, AND I THINK 
[000:35:44;25] PROBABLY HE'S NOT ALL THAT 
[000:35:46;24] ENTHUSIASTIC ABOUT HAVING THE 
[000:35:48;01] REST OF OUR COUNTRY SEE WHAT 
[000:35:50;27] THE REAL REASONS ARE, BECAUSE 
[000:35:52;24] IT MUST BE SOMETHING REALLY 
[000:35:54;26] IMPORTANT, EVEN TERRIBLE THAT 
[000:35:55;29] HE'S TRYING TO HIDE, AND THE 
[000:35:57;01] FINANCIAL DISCLOSURE STATEMENT,
[000:35:59;29] THEY DON'T GIVE YOU THE TAX 
[000:36:01;02] RATE.
[000:36:01;13] THEY DON'T GIVE YOU ALL THE 
[000:36:02;27] DETAILS THAT TAX RETURNS WOULD.
[000:36:04;28] AND IT JUST SEEMS TO ME THAT 
[000:36:07;26] THIS IS SOMETHING THAT THE 
[000:36:09;01] AMERICAN PEOPLE DESERVE TO SEE 
[000:36:10;00] AND I HAVE NO REASON TO BELIEVE
[000:36:13;00] THAT HE'S EVER GOING TO RELEASE
[000:36:15;02] HIS TAX RETURNS, BECAUSE 
[000:36:17;00] THERE'S SOMETHING HE'S HIDING.
[000:36:19;03] AND WE'LL GUESS.
[000:36:20;05] WE'LL KEEP GUESSING AT WHAT IT 
[000:36:22;03] MIGHT BE THAT HE'S HIDING, BUT 
[000:36:23;08] I THINK THE QUESTION IS, WERE 
[000:36:25;06] HE EVER TO GET NEAR THE WHITE 
[000:36:28;10] HOUSE, WHAT WOULD BE THOSE 
[000:36:30;03] CONFLICTS? 
[000:36:30;17] WHO DOES HE OWE MONEY TO? 
[000:36:33;05] WELL HE OWES YOU THE ANSWERS 
[000:36:35;13] TO THAT, AND HE SHOULD PROVIDE 
[000:36:37;11] THEM. 
[000:36:37;22] LESTER HOLT:  HE ALSO RAISED 
[000:36:38;15] THE ISSUE OF YOUR E-MAILS.
[000:36:39;14] DO YOU WANT TO RESPOND TO THAT?
[000:36:41;07] HILLARY CLINTON: I DO.
[000:36:41;26] YOU KNOW, I MADE A MISTAKE 
[000:36:44;09] USING A PRIVATE E-MAIL. 
[000:36:46;14] DONALD TRUMP: THAT'S FOR SURE. 
[000:36:47;08] HILLARY CLINTON: AND IF I HAD 
[000:36:48;01] TO DO IT OVER AGAIN, I WOULD 
[000:36:49;16] OBVIOUSLY DO IT DIFFERENTLY.
[000:36:51;08] BUT I'M NOT GOING TO MAKE ANY 
[000:36:52;17] EXCUSES.
[000:36:53;08] IT WAS A MISTAKE.
[000:36:54;13] AND I TAKE RESPONSIBILITY FOR 
[000:36:56;14] THAT.
[000:36:57;08] LESTER HOLT:  MR. TRUMP. 
[000:36:58;14] DONALD TRUMP: THAT WAS MORE 
[000:36:59;18] THAN A MISTAKE.
[000:37:01;11] THAT WAS DONE PURPOSELY.
[000:37:02;12] OKAY, THAT WAS NOT A MISTAKE.
[000:37:03;17] THAT WAS DONE PURPOSELY.
[000:37:05;18] WHEN YOU HAVE YOUR STAFF TAKING
[000:37:09;14] THE FIFTH AMENDMENT -- TAKING 
[000:37:11;17] THE FIFTH SO THEY'RE NOT 
[000:37:13;14] PROSECUTED, WHEN YOU HAVE THE 
[000:37:14;16] MAN THAT SET UP THE ILLEGAL 
[000:37:15;22] SERVER TAKING THE FIFTH, I 
[000:37:17;20] THINK IT'S DISGRACEFUL.
[000:37:18;22] AND BELIEVE ME, THIS COUNTRY 
[000:37:20;17] THINKS IT'S DISGRACE -- REALLY 
[000:37:22;18] THINKS IT'S DISGRACEFUL ALSO.
[000:37:24;20] AS FAR AS MY TAX RETURNS, YOU 
[000:37:26;27] DON'T LEARN THAT MUCH FROM TAX 
[000:37:28;19] RETURNS.
[000:37:29;01] THAT I CAN TELL YOU.
[000:37:29;22] YOU LEARN A LOT FROM FINANCIAL 
[000:37:31;27] DISCLOSURE, AND YOU SHOULD GO 
[000:37:32;21] DOWN AND TAKE A LOOK AT THAT.
[000:37:33;27] THE OTHER THING I'M EXTREMELY 
[000:37:38;21] UNDER-LEVERAGED.
[000:37:39;07] THE REPORT THAT SAID 
[000:37:39;26] 650 -- WHICH BY THE WAY, A LOT 
[000:37:41;03] OF FRIENDS OF MINE THAT KNOW MY
[000:37:42;26] BUSINESS SAID BOY, THAT'S 
[000:37:44;04] REALLY NOT A LOT OF MONEY.
[000:37:46;00] THAT'S REALLY NOT A LOT OF 
[000:37:47;02] MONEY RELATIVE TO WHAT I HAVE.
[000:37:48;03] THE BUILDINGS IN QUESTION, THEY
[000:37:49;26] SAID IN THE SAME 
[000:37:50;13] REPORT -- ACTUALLY, IT WASN'T 
[000:37:52;09] EVEN A BAD STORY TO BE HONEST 
[000:37:53;04] WITH YOU BUT THE BUILDINGS ARE 
[000:37:54;28] WORTH $3.9 BILLION AND THE 650 
[000:37:57;00] ISN'T EVEN OF THAT.
[000:37:58;27] BUT IT'S NOT 650.
[000:37:59;29] IT'S MUCH LESS THAN THAT.
[000:38:01;02] BUT I COULD GIVE YOU A LIST OF 
[000:38:02;27] BANKS, IF THAT WOULD HELP YOU, 
[000:38:05;04] I WOULD GIVE YOU A LIST OF 
[000:38:07;04] BANKS, VERY FINE INSTITUTIONS 
[000:38:09;01] AND FINE BANKS I COULD DO THAT 
[000:38:11;03] QUICKLY.
[000:38:11;15] I AM UNDER LEVERAGED I HAVE A 
[000:38:14;03] GREAT COMPANY AND HAVE A 
[000:38:17;04] TREMENDOUS INCOME.
[000:38:18;07] I'M NOT SAYING THAT IN A 
[000:38:21;04] BRAGODOCIOUS WAY.
[000:38:22;08] IT'S ABOUT TIME SOMEBODY 
[000:38:23;16] RUNNING THIS COUNTRY HAS AN 
[000:38:25;09] IDEA ABOUT MONEY.
[000:38:26;07] WHEN WE HAVE $20 TRILLION IN 
[000:38:27;14] DEBT AND OUR COUNTRY IS IN 
[000:38:29;08] DEBT -- IT'S ONE THING TO HAVE 
[000:38:31;12] $20 TRILLION IN DEBT AND OUR 
[000:38:32;13] ROADS AND BRIDGES ARE GOOD, AND
[000:38:34;10] EVERYTHING IS IN GREAT SHAPE, 
[000:38:35;14] OUR AIRPORTS ARE LIKE FROM A 
[000:38:37;11] THIRD-WORLD COUNTRY.
[000:38:38;15] YOU LAND AT LAGUARDIA, YOU LAND
[000:38:42;13] AT KENNEDY, LAX, NEW A, AND YOU
[000:38:45;13] COME IN FROM DUBAI  CHINA, YOU
[000:38:49;15] SEE THESE INCREDIBLE AIRPORTS 
[000:38:50;16] AND YOU LAND, WE'VE BECOME A 
[000:38:52;18] THIRD-WORLD COUNTRY.
[000:38:53;20] SO THE WORST OF ALL THINGS HAS 
[000:38:55;18] HAPPENED.
[000:38:56;01] WE OWE $20 TRILLION AND WE'RE A
[000:38:59;20] MASS.
[000:39:00;21] WE HAVEN'T EVEN STARTED.
[000:39:02;22] WE'VE SPENT $6 TRILLION IN THE 
[000:39:04;00] MIDDLE EAST ACCORDING TO A 
[000:39:04;29] REPORT THAT I JUST SAW, WHETHER
[000:39:07;00] IT'S 6 OR 5, BUT IT LOOKS LIKE 
[000:39:09;00] IT'S 6.
[000:39:11;23] $6 TRILLION.
[000:39:13;00] IN THE MIDDLE EAST WE COULD 
[000:39:13;29] HAVE REBUILT OUR COUNTRY TWICE
[000:39:16;05] AND IT'S REALLY A SHAME.
[000:39:17;27] IT'S POLITICIANS LIKE SECRETARY
[000:39:19;25] CLINTON THAT HAVE CAUSED THIS 
[000:39:21;01] PROBLEM.
[000:39:21;25] OUR COUNTRY HAS TREMENDOUS 
[000:39:23;26] PROBLEMS.
[000:39:24;09] WE'RE A DEBTOR NATION WE'RE A 
[000:39:26;02] SERIOUS DEBTOR NATION, AND WE 
[000:39:27;04] HAVE A COUNTRY THAT NEEDS NEW 
[000:39:29;28] ROADS, NEW TUNNELS, NEW 
[000:39:31;07] BRIDGES, NEW AIRPORTS, NEW 
[000:39:32;28] SCHOOLS, NEW HOSPITALS AND WE 
[000:39:34;03] DON'T HAVE THE MONEY BECAUSE 
[000:39:35;04] IT'S BEEN SQUANDERED ON SO MANY
[000:39:37;03] OF YOUR IDEAS. 
[000:39:39;04] HILLARY CLINTON: AND YOU 
[000:39:41;04] HAVEN'T PAID ANY FEDERAL INCOME
[000:39:42;13] TAX FOR A LOT OF YEARS.
[000:39:45;07] [CHEERING] 
[000:39:45;21] HILLARY CLINTON: AND THE OTHER 
[000:39:46;18] THING THAT'S IMPORTANT -- 
[000:39:48;05] DONALD TRUMP: IT WOULD BE 
[000:39:48;26] SQUANDERED TOO, BELIEVE ME. 
[000:39:49;18] HILLARY CLINTON: IF YOUR MAIN 
[000:39:50;11] CLAIM TO BE PRESIDENT OF THE 
[000:39:51;20] UNITED STATES IS YOUR BUSINESS
[000:39:52;14] THEN I THINK WE SHOULD TALK 
[000:39:55;10] ABOUT THAT.
[000:39:56;07] YOU KNOW, YOUR CAMPAIGN MANAGER
[000:39:57;16] SAID THAT YOU BUILT A LOT OF 
[000:40:01;15] BUSINESSES ON THE BACKS OF 
[000:40:02;14] LITTLE GUYS.
[000:40:03;12] AND, INDEED, I HAVE MET A LOT 
[000:40:04;22] OF THE PEOPLE WHO WERE STIFFED 
[000:40:07;14] BY YOU AND YOUR BUSINESSES, 
[000:40:10;11] DONALD.
[000:40:10;23] I'VE MET DISHWASHERS, PAINTERS,
[000:40:14;12] ARCHITECTS, GLASS INSTALLERS, 
[000:40:16;21] MARBLE INSTALLERS DRAPERY 
[000:40:20;16] INSTALLERS, LIKE MY DAD WAS, 
[000:40:21;23] WHO YOU REFUSED TO PAY WHEN 
[000:40:23;20] THEY FINISHED THE WORK THAT YOU
[000:40:25;17] ASKED THEM TO DO.
[000:40:30;16] WE HAVE AN ARCHITECT IN THE 
[000:40:31;23] AUDIENCE WHO DESIGNED ONE OF 
[000:40:32;17] YOUR CLUBHOUSES AT ONE OF YOUR 
[000:40:34;17] GOLF COURSES.
[000:40:35;17] IT'S A BEAUTIFUL FACILITY.
[000:40:36;25] IT IMMEDIATELY WAS PUT TO USE.
[000:40:38;21] AND YOU WOULDN'T PAY WHAT THE 
[000:40:41;29] MAN NEEDED TO BE PAID, WHAT HE 
[000:40:43;29] WAS CHARGING YOU TO DO. 
[000:40:45;03] DONALD TRUMP: MAYBE HE DIDN'T 
[000:40:46;01] DO A GOOD JOB AND I WAS 
[000:40:47;23] UNSATISFIED WITH HIS WORK, 
[000:40:48;26] WHICH OUR COUNTRY SHOULD DO 
[000:40:51;26] TOO. 
[000:40:52;07] HILLARY CLINTON: TO THE 
[000:40:52;27] THOUSANDS OF PEOPLE THAT YOU 
[000:40:54;02] HAVE STIFFED OVER THE COURSE OF
[000:40:55;00] YOUR BUSINESS, DO THEY NOT 
[000:40:57;03] DESERVE SOME KIND OF APOLOGY 
[000:40:58;29] FROM SOMEONE WHO HAS TAKEN 
[000:41:01;27] THEIR LABOR, TAKEN THE GOODS 
[000:41:03;29] THAT THEY'VE PRODUCED AND THEN 
[000:41:05;24] REFUSED TO PAY THEM? 
[000:41:07;00] I CAN ONLY SAY THAT I'M 
[000:41:08;01] CERTAINLY RELIEVED THAT MY LATE
[000:41:09;27] FATHER NEVER DID BUSINESS WITH 
[000:41:11;00] YOU.
[000:41:11;10] HE PROVIDED A GOOD MIDDLE CLASS
[000:41:13;05] LIFE FOR US, BUT THE PEOPLE HE 
[000:41:15;06] WORKED FOR, HE EXPECTED THE 
[000:41:17;04] BARGAIN TO BE KEPT ON BOTH 
[000:41:19;05] SIDES.
[000:41:22;03] AND WHEN WE TALK ABOUT YOUR 
[000:41:24;05] BUSINESS, YOU'VE TAKEN BUSINESS
[000:41:27;06] BANKRUPTCY SIX TIMES.
[000:41:28;09] THERE ARE A LOT OF GREAT 
[000:41:29;00] BUSINESS PEOPLE THAT HAVE NEVER
[000:41:31;14] TAKEN BANKRUPTCY ONCE.
[000:41:32;09] YOU CALL YOURSELF THE KING OF 
[000:41:34;06] DEBT.
[000:41:34;17] YOU TALK ABOUT LEVERAGE.
[000:41:36;07] YOU EVEN AT ONE TIME SUGGESTED 
[000:41:39;08] THAT YOU WOULD TRY TO NEGOTIATE
[000:41:41;16] DOWN THE -- 
[000:41:43;12] DONALD TRUMP: WRONG. 
[000:41:44;13] HILLARY CLINTON: -- NATIONAL 
[000:41:45;11] DEBT OF THE UNITED STATES.
[000:41:46;23] WELL SOMETIMES THERE'S NOT A 
[000:41:48;12] DIRECT TRANSFER OF SKILLS FROM 
[000:41:50;11] BUSINESS TO GOVERNMENT.
[000:41:52;11] BUT SOMETIMES WHAT HAPPENED IN 
[000:41:54;13] BUSINESS WOULD BE REALLY BAD 
[000:41:56;17] FOR GOVERNMENT.
[000:41:57;19] AND WE NEED TO BE VERY CLEAR 
[000:41:59;14] ABOUT THAT. 
[000:41:59;28] DONALD TRUMP: LOOK.
[000:42:00;17] IT'S ALL WORDS.
[000:42:01;21] IT'S ALL SOUND BYTES.
[000:42:03;19] I'VE BUILT AN UNBELIEVABLE 
[000:42:06;19] COMPANY.
[000:42:07;01] SOME OF THE GREATEST ASSETS 
[000:42:07;23] ANYWHERE IN THE WORLD, REAL 
[000:42:08;23] ESTATE ASSETS ANYWHERE IN THE 
[000:42:10;22] WORLD BEYOND THE UNITED STATES
[000:42:11;24] EUROPE, LOTS OF DIFFERENT 
[000:42:13;21] PLACES.
[000:42:14;03] IT'S AN UNBELIEVABLE COMPANY.
[000:42:16;02] BUT ON OCCASION, FOUR TIMES, WE
[000:42:18;26] USED CERTAIN LAWS THAT ARE 
[000:42:22;20] THERE.
[000:42:23;01] AND WHEN SECRETARY CLINTON 
[000:42:24;26] TALKS ABOUT PEOPLE THAT DIDN'T 
[000:42:26;28] GET PAID FIRST OF ALL, THEY 
[000:42:28;02] DID GET PAID A LOT, BUT TAKING 
[000:42:33;26] ADVANTAGE OF THE LAWS OF THE 
[000:42:35;27] NATION.
[000:42:36;09] IF YOU WANT TO CHANGE THE LAWS,
[000:42:37;03] YOU'VE BEEN THERE A LONG TIME, 
[000:42:38;02] CHANGE THE LAWS.
[000:42:39;02] BUT I TAKE ADVANTAGE OF THE 
[000:42:41;01] LAWS OF THE NATION, BECAUSE I'M
[000:42:41;29] RUNNING THE COMPANY.
[000:42:43;01] MY OBLIGATION RIGHT NOW IS TO 
[000:42:44;01] DO WELL FOR MYSELF, MY FAMILY 
[000:42:46;02] MY EMPLOYEES FOR MY COMPANIES 
[000:42:47;07] AND THAT'S WHAT I DO.
[000:42:48;29] BUT WHAT SHE DOESN'T SAY IS 
[000:42:51;03] THAT TENS OF THOUSANDS OF 
[000:42:51;24] PEOPLE THAT ARE UNBELIEVABLY 
[000:42:56;05] HAPPY AND THAT LOVE ME.
[000:42:57;01] I'LL GIVE YOU AN EXAMPLE.
[000:42:58;07] WE'RE JUST OPENING UP ON 
[000:43:00;04] PENNSYLVANIA AVENUE RIGHT NEXT 
[000:43:02;04] TO THE WHITE HOUSE, SO IF I 
[000:43:03;04] DON'T GET THERE ONE WAY, I'M 
[000:43:05;05] GOING TO GET TO PENNSYLVANIA 
[000:43:07;06] AVENUE ANOTHER.
[000:43:08;09] BUT WE'RE OPENING THE OLD POST 
[000:43:11;06] OFFICE.
[000:43:11;18] UNDER BUDGET, AHEAD OF 
[000:43:14;07] SCHEDULE SAVE TREMENDOUS 
[000:43:15;16] MONEY.
[000:43:16;07] I'M A YEAR AHEAD OF SCHEDULE.
[000:43:17;13] AND THAT'S WHAT THIS COUNTRY 
[000:43:19;12] SHOULD BE DOING.
[000:43:21;10] WE BUILD ROADS AND BECAUSE TWO 
[000:43:22;18] OR THREE OR FOUR TIMES WHAT 
[000:43:24;12] THEY'RE SUPPOSED TO COST, WE 
[000:43:25;16] BUY PRODUCTS FOR OUR MILITARY 
[000:43:27;17] AND THEY COME AT COSTS THAT ARE
[000:43:28;20] SO FAR ABOVE WHAT THEY WERE 
[000:43:29;25] SUPPOSED TO BE BECAUSE WE DON'T
[000:43:30;24] HAVE PEOPLE THAT KNOW WHAT 
[000:43:31;23] THEY'RE DOING.
[000:43:32;16] WHEN WE LOOK AT THE BUDGET, THE
[000:43:35;14] BUDGET IS BAD TO A LARGE EXTENT
[000:43:37;18] BECAUSE WE HAVE PEOPLE THAT 
[000:43:38;18] HAVE NO IDEA AS TO WHAT TO DO 
[000:43:40;20] AND HOW TO BUY.
[000:43:43;17] THE TRUMP INTERNATIONAL IS WAY 
[000:43:45;20] UNDER BUDGET AND WAY AHEAD OF 
[000:43:47;19] SCHEDULE, AND WE SHOULD BE ABLE
[000:43:48;25] TO DO THAT FOR OUR COUNTRY. 
[000:43:50;23] LESTER HOLT:  WELL, WE'RE WELL 
[000:43:51;23] BEHIND SCHEDULE SO I WANT TO 
[000:43:52;25] MOVE TO OUR NEXT SEGMENT.
[000:43:54;23] WE MOVE INTO OUR NEXT SEGMENT 
[000:43:56;26] TALKING ABOUT AMERICA'S 
[000:43:57;20] DIRECTION AND LET'S START 
[000:43:58;24] TALKING ABOUT RACE.
[000:43:59;20] THE SHARE OF AMERICANS WHO SAY 
[000:44:01;01] RACE RELATIONS ARE BAD IN THIS 
[000:44:02;25] COUNTRY IS THE HIGHEST IT'S 
[000:44:03;29] BEEN IN DECADES.
[000:44:04;27] MUCH OF IT AMPLIFIED BY 
[000:44:06;26] SHOOTINGS OF AFRICAN-AMERICANS 
[000:44:08;05] BY POLICE, AS WE'VE SEEN 
[000:44:10;00] RECENTLY IN CHARLOTTE AND 
[000:44:11;28] TULSA.
[000:44:12;09] RACE HAS BEEN A BIG ISSUE IN 
[000:44:13;07] THIS CAMPAIGN AND ONE OF YOU IS
[000:44:15;04] GOING TO HAVE TO BRIDGE A VERY 
[000:44:16;05] WIDE AND BITTER GAP.
[000:44:17;07] SO HOW DO YOU HEAL THE DIVIDE? 
[000:44:19;05] SECRETARY CLINTON, YOU GET TWO 
[000:44:20;07] MINUTES ON THIS. 
[000:44:22;04] HILLARY CLINTON: WELL, YOU'RE 
[000:44:24;02] RIGHT.
[000:44:25;02] RACE REMAINS A SIGNIFICANT 
[000:44:28;09] CHALLENGE IN OUR COUNTRY.
[000:44:33;03] UNFORTUNATELY, RACE STILL 
[000:44:34;04] DETERMINES TOO MUCH, OFTEN 
[000:44:35;04] DETERMINES WHERE PEOPLE LIVE, 
[000:44:37;05] DETERMINES WHAT KIND OF 
[000:44:39;12] EDUCATION IN THEIR PUBLIC 
[000:44:40;14] SCHOOLS THEY CAN GET AND, YES, 
[000:44:42;11] IT DETERMINES HOW THEY'RE 
[000:44:43;12] TREATED IN THE CRIMINAL JUSTICE
[000:44:44;16] SYSTEM.
[000:44:45;07] WE'VE JUST SEEN THOSE TWO 
[000:44:46;15] TRAGIC EXAMPLES IN BOTH TULSA 
[000:44:49;09] AND CHARLOTTE.
[000:44:49;24] AND WE'VE GOT TO DO SEVERAL 
[000:44:53;12] THINGS AT THE SAME TIME.
[000:44:58;12] WE HAVE TO RESTORE TRUST 
[000:44:59;17] BETWEEN COMMUNITIES AND THE 
[000:45:01;22] POLICE.
[000:45:02;04] WE HAVE TO WORK TO MAKE SURE 
[000:45:05;17] THAT OUR POLICE ARE USING THE 
[000:45:07;23] BEST TRAINING, THE BEST 
[000:45:08;23] TECHNIQUES THAT THEY'RE WELL 
[000:45:11;23] PREPARED TO USE FORCE ONLY WHEN
[000:45:16;21] NECESSARY.
[000:45:17;04] EVERYONE SHOULD BE RESPECTED BY
[000:45:19;23] THE LAW, AND EVERYONE SHOULD 
[000:45:22;25] RESPECT THE LAW.
[000:45:23;26] RIGHT NOW, THAT'S NOT THE CASE 
[000:45:25;27] IN A LOT OF OUR NEIGHBORHOODS.
[000:45:28;25] SO I HAVE -- EVER SINCE THE 
[000:45:30;01] FIRST DAY OF MY 
[000:45:30;27] CAMPAIGN -- CALLED FOR CRIMINAL
[000:45:32;08] JUSTICE REFORM.
[000:45:33;00] I'VE LAID OUT A PLATFORM THAT I
[000:45:36;02] THINK WOULD BEGIN TO REMEDY 
[000:45:39;00] SOME OF THE PROBLEMS THAT HAVE 
[000:45:40;02] IN THE CRIMINAL JUSTICE SYSTEM.
[000:45:41;29] BUT WE ALSO HAVE TO RECOGNIZE 
[000:45:44;29] IN ADDITION TO THE CHALLENGES 
[000:45:45;22] THAT WE FACE WITH POLICING, 
[000:45:47;04] THERE ARE SO MANY GOOD, BRAVE 
[000:45:50;06] POLICE OFFICERS WHO EQUALLY 
[000:45:51;08] WANT REFORM.
[000:45:52;04] SO WE HAVE TO BRING COMMUNITIES
